"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"8756-4793";"1552-5430";"442750";"Journal of Diagnostic Medical Sonography";"Journal of Diagnostic Medical Sonography"
"0253-8768";;"442751";"Journal of diarrhoeal diseases research";"Journal of diarrhoeal diseases research"
"1023-6198";"1563-5120";"442752";"Journal of difference equations and applications (Print)";"Journal of difference equations and applications (Print)"
"0022-0396";"1090-2732";"442753";"Journal of Differential Equations";"Journal of Differential Equations"
"0022-040X";"1945-743X";"442754";"Journal of differential geometry";"Journal of differential geometry"
"0897-1889";"1618-727X";"442755";"Journal of digital imaging";"Journal of digital imaging"
"0972-7272";;"442756";"Journal of Digital Information Management";"Journal of Digital Information Management"
"1044-2073";"1538-4802";"442757";"Journal of Disability Policy Studies";"Journal of Disability Policy Studies"
"0193-2691";"1532-2351";"442758";"Journal of Dispersion Science and Technology";"Journal of Dispersion Science and Technology"
"0022-0418";"1758-7379";"442759";"Journal of Documentation";"Journal of Documentation"
"0047-2379";"1541-4159";"442760";"Journal of Drug Education";"Journal of Drug Education"
"1479-1137";"1747-5570";"442761";"Journal of Drug Evaluation";"Journal of Drug Evaluation"
"1061-186X";"1029-2330";"442762";"Journal of drug targeting (Print)";"Journal of drug targeting (Print)"
"0022-0434";"1528-9028";"442763";"Journal of Dynamic Systems Measurement, and Control";"Journal of Dynamic Systems Measurement, and Control"
"1079-2724";"1573-8698";"442764";"Journal of Dynamical and Control Systems";"Journal of Dynamical and Control Systems"
"1040-7294";"1572-9222";"442765";"Journal of Dynamics and Differential Equations";"Journal of Dynamics and Differential Equations"
"1468-7984";"1741-2919";"442766";"Journal of Early Childhood Literacy";"Journal of Early Childhood Literacy"
"1476-718X";"1741-2927";"442767";"Journal of Early Childhood Research";"Journal of Early Childhood Research"
"1090-1027";"1745-5642";"442768";"Journal of Early Childhood Teacher Education";"Journal of Early Childhood Teacher Education"
"1067-6341";"1086-3184";"442769";"Journal of Early Christian Studies";"Journal of Early Christian Studies"
"1053-8151";"2154-3992";"442770";"Journal of Early Intervention";"Journal of Early Intervention"
"1385-3783";"1570-0658";"442771";"Journal of Early Modern History";"Journal of Early Modern History"
"0022-3697";"1879-2553";"443544";"Journal of Physics and Chemistry of Solids";"Journal of Physics and Chemistry of Solids"
"0953-4075";"1361-6455";"443545";"Journal of Physics B: Atomic, Molecular and Optical Physics";"Journal of Physics B: Atomic, Molecular and Optical Physics"
"0022-3727";"1361-6463";"443546";"Journal of Physics D: Applied Physics";"Journal of Physics D: Applied Physics"
"0954-3899";"1361-6471";"443547";"Journal of Physics G: Nuclear and Particle Physics";"Journal of Physics G: Nuclear and Particle Physics"
"0953-8984";"1361-648X";"443548";"Journal of Physics: Condensed Matter";"Journal of Physics: Condensed Matter"
"1345-3475";"1347-5355";"443549";"Journal of Physiological Anthropology and Applied Human Science";"Journal of Physiological Anthropology and Applied Human Science"
"1138-7548";"1877-8755";"443550";"Journal of physiology and biochemistry";"Journal of physiology and biochemistry"
"0928-4257";"1769-7115";"443551";"Journal of Physiology - Paris";"Journal of Physiology - Paris"
"0931-1785";"1439-0434";"443552";"Journal of Phytopathology";"Journal of Phytopathology"
"0920-9034";"1569-9870";"443553";"Journal of Pidgin and Creole Languages";"Journal of Pidgin and Creole Languages"
"0739-456X";"1552-6577";"443554";"Journal of planning education and research";"Journal of planning education and research"
"1538-5132";"1552-6585";"443555";"Journal of Planning History";"Journal of Planning History"
"0885-4122";"1552-6593";"443556";"Journal of planning literature";"Journal of planning literature"
"0971-7811";"0974-1275";"443557";"Journal of Plant Biochemistry and Biotechnology";"Journal of Plant Biochemistry and Biotechnology"
"1226-9239";"1867-0725";"443558";"Journal of Plant Biology";"Journal of Plant Biology"
"0721-7595";"1435-8107";"443559";"Journal of Plant Growth Regulation";"Journal of Plant Growth Regulation"
"0190-4167";"1532-4087";"443560";"Journal of plant nutrition";"Journal of plant nutrition"
"1436-8730";"1522-2624";"443561";"Zeitschrift für Pflanzenernahrung und Bodenkunde";"Journal of Plant Nutrition And Soil Science"
"1125-4653";"2239-7264";"443562";"Journal of plant pathology";"Journal of plant pathology"
"0176-1617";"1618-1328";"443563";"Journal of plant physiology";"Journal of plant physiology"
"0918-9440";"1618-0860";"443564";"Journal of Plant Research";"Journal of Plant Research"
"0022-3778";"1469-7807";"443565";"Journal of Plasma Physics";"Journal of Plasma Physics"
"8756-0879";"1530-8014";"443566";"Journal of plastic film & sheeting";"Journal of plastic film & sheeting"
"0889-3675";"1567-2344";"443567";"Journal of Poetry Therapy";"Journal of Poetry Therapy"
"0276-8739";"1520-6688";"443568";"Journal of policy analysis and management";"Journal of policy analysis and management"
"1741-1122";"1741-1130";"443569";"Journal of Policy and Practice in Intellectual Disabilities";"Journal of Policy and Practice in Intellectual Disabilities"
"0898-0306";"1528-4190";"443570";"Journal of Policy History";"Journal of Policy History"
"1384-1289";"1477-2736";"443571";"Journal of Policy Reform";"Journal of Policy Reform"
"0047-2697";;"443572";"Journal of political & military sociology";"Journal of political & military sociology"
"0022-3808";"1537-534X";"443574";"Journal of Political Economy";"Journal of Political Economy"
"0334-6447";"2191-0340";"443575";"Journal of polymer engineering";"Journal of polymer engineering"
"0970-0838";;"443576";"Journal of Polymer Materials";"Journal of Polymer Materials"
"1022-9760";"1572-8935";"443577";"Journal of polymer research";"Journal of polymer research"
"0887-624X";"1099-0518";"443578";"Journal of Polymer Science Part A: Polymer Chemistry";"Journal of Polymer Science Part A: Polymer Chemistry"
"0887-6266";"1099-0488";"443579";"Journal of Polymer Science Part B: Polymer Physics";"Journal of Polymer Science Part B: Polymer Physics"
"1566-2543";"1572-8919";"443580";"Journal of Polymers and the Environment";"Journal of Polymers and the Environment"
"0022-3840";"1540-5931";"443581";"Journal of Popular Culture";"Journal of Popular Culture"
"0195-6051";"1930-6458";"443582";"The Journal of popular film and television";"The Journal of popular film and television"
"1524-2226";"1533-1598";"443583";"Journal of Popular Music Studies";"Journal of Popular Music Studies"
"1380-2224";"1573-4854";"443584";"Journal of porous materials";"Journal of porous materials"
"1091-028X";"1934-0508";"443585";"Journal of Porous Media";"Journal of Porous Media"
"1088-4246";"1099-1409";"443586";"Journal of Porphyrins and Phthalocyanines";"Journal of Porphyrins and Phthalocyanines"
"0095-4918";"2168-8656";"443587";"Journal of Portfolio Management";"Journal of Portfolio Management"
"1098-3007";"1538-4772";"443588";"Journal of Positive Behavior Interventions";"Journal of Positive Behavior Interventions"
"0160-3477";"1557-7821";"443589";"Journal of post Keynesian economics";"Journal of post Keynesian economics"
"0022-3859";"0972-2823";"443590";"Journal of Postgraduate Medicine";"Journal of Postgraduate Medicine"
"1087-5549";"1540-7608";"443591";"Journal of Poverty";"Journal of Poverty"
"0378-7753";"1873-2755";"443592";"Journal of Power Sources";"Journal of Power Sources"
"0128-1283";;"444048";"Journal of Tropical Forest Science";"Journal of Tropical Forest Science"
"1060-149X";;"443593";"The Journal of pre-Raphaelite studies (1992)";"The Journal of pre-Raphaelite studies (1992)"
"1521-9216";;"443594";"Journal of Presbyterian History";"Journal of Presbyterian History"
"0094-9930";"1528-8978";"443595";"Journal of Pressure Vessel Technology";"Journal of Pressure Vessel Technology"
"1085-2352";"1540-7330";"443596";"Journal of Prevention & Intervention in the Community";"Journal of Prevention & Intervention in the Community"
"0278-095X";"1573-6547";"443597";"Journal of Primary Prevention";"Journal of Primary Prevention"
"0959-1524";"1873-2771";"443598";"Journal of Process Control";"Journal of Process Control"
"1061-0421";;"443599";"Journal of Product & Brand Management";"Journal of Product & Brand Management"
"0737-6782";"1540-5885";"443600";"Journal of Product Innovation Management";"Journal of Product Innovation Management"
"0890-8524";;"443601";"Journal of Production Agriculture";"Journal of Production Agriculture"
"1052-3928";"1943-5541";"443602";"Journal of professional issues in engineering education and practice";"Journal of professional issues in engineering education and practice"
"8755-7223";"1532-8481";"443603";"Journal of Professional Nursing";"Journal of Professional Nursing"
"1042-8232";"1540-7616";"443604";"Journal of Progressive Human Services";"Journal of Progressive Human Services"
"1049-6491";"1540-7594";"443605";"Journal of Promotion Management";"Journal of Promotion Management"
"0958-868X";"1758-7875";"443606";"Journal of Property Finance";"Journal of Property Finance"
"1463-578X";"1470-2002";"443607";"Journal of Property Investment & Finance";"Journal of Property Investment & Finance"
"0959-9916";"1466-4453";"443608";"Journal of Property Research";"Journal of Property Research"
"0960-2712";"1758-7867";"443609";"Journal of Property Valuation & Investment";"Journal of Property Valuation & Investment"
"0748-4658";"1533-3876";"443610";"Journal of Propulsion and Power";"Journal of Propulsion and Power"
"0022-3913";"1097-6841";"443611";"The Journal of prosthetic dentistry (Print)";"The Journal of prosthetic dentistry (Print)"
"1040-8800";"1534-6331";"443612";"Journal of Prosthetics and Orthotics";"Journal of Prosthetics and Orthotics"
"1059-941X";"1532-849X";"443613";"Journal of Prosthodontics";"Journal of Prosthodontics"
"1535-3893";"1535-3907";"443614";"Journal of Proteome Research";"Journal of Proteome Research"
"1351-0126";"1365-2850";"443615";"Journal of Psychiatric and Mental Health Nursing";"Journal of Psychiatric and Mental Health Nursing"
"1180-4882";"1488-2434";"443616";"Journal of Psychiatry & Neuroscience";"Journal of Psychiatry & Neuroscience"
"0145-3378";;"443618";"Journal of Psychohistory";"Journal of Psychohistory"
"0090-6905";"1573-6555";"443619";"Journal of Psycholinguistic Research";"Journal of Psycholinguistic Research"
"0890-7064";"1540-8698";"443620";"Journal of Psychology & Human Sexuality";"Journal of Psychology & Human Sexuality"
"1520-8834";"1532-7760";"443621";"Journal of Psychology and Financial Markets";"Journal of Psychology and Financial Markets"
"0700-9801";"1573-370X";"443622";"Journal of Psychology and Judaism";"Journal of Psychology and Judaism"
"0091-6471";"2328-1162";"443623";"Journal of psychology and theology";"Journal of psychology and theology"
"0882-2689";"1573-3505";"443624";"Journal of Psychopathology and Behavioral Assessment";"Journal of Psychopathology and Behavioral Assessment"
"0269-8811";"1461-7285";"443625";"Journal of Psychopharmacology";"Journal of Psychopharmacology"
"0279-3695";"1938-2413";"443626";"Journal of Psychosocial Nursing and Mental Health Services";"Journal of Psychosocial Nursing and Mental Health Services"
"0734-7332";"1540-7586";"443627";"Journal of psychosocial oncology";"Journal of psychosocial oncology"
"1053-0479";"1573-3696";"443628";"Journal of psychotherapy integration";"Journal of psychotherapy integration"
"1053-1858";"1477-9803";"443629";"Journal of public administration research and theory";"Journal of public administration research and theory"
"1472-3891";"1479-1854";"443630";"Journal of Public Affairs";"Journal of Public Affairs"
"2198-1833";"1613-2238";"443631";"Journal of Public Health (Berlin)";"Journal of Public Health (Berlin)"
"0022-4006";"1752-7325";"443632";"Journal of Public Health Dentistry";"Journal of Public Health Dentistry"
